timestamp,cluster_id,location,capacity,base_price,dynamic_price,hour,dayofweek,month,is_weekend,is_holiday,event_flag,event_name,event_type,weather_temp,weather_precip,forecast_temp_next1h,forecast_precip_next1h,traffic_index,past_1h_occ,past_3h_occ,past_6h_occ,occupied_next_1h
00:00:00,0,Zone_1,200,20,22,0,6,12,1,0,0,None,None,17.29753988,0,18.02989217,0.260669007,0.453172609,0.585381536,0.348525479,0.356521378,0
01:00:00,0,Zone_1,200,20,22,1,6,12,1,0,0,None,None,22.38713436,0,21.43325921,0.214864796,0.807742994,0.58480118,0.352007657,0.601025776,0
02:00:00,0,Zone_1,200,20,22,2,6,12,1,0,0,None,Conference,25.67846409,0,25.8935538,0.002314474,0.578846604,0.347986628,0.298074126,0.314404796,0
03:00:00,0,Zone_1,200,20,22,3,6,12,1,0,0,None,Conference,20.3375779,0,21.00396773,0.004018792,0.279780449,0.504010804,0.363849598,0.470395672,0
04:00:00,0,Zone_1,200,20,22,4,6,12,1,0,0,None,None,20.21539974,0,19.60736546,0,0.534273656,0.481598857,0.527929605,0.327839311,0
05:00:00,0,Zone_1,200,20,22,5,6,12,1,0,0,None,Conference,15.14091663,0,14.17218945,0.154040888,0.290425879,0.483207021,0.587680709,0.562367694,0
06:00:00,0,Zone_1,200,20,22,6,6,12,1,0,0,None,Festival,17.37850233,0,18.10470918,0.273978876,0.375304521,0.5312825,0.500699474,0.513920842,0
07:00:00,0,Zone_1,200,20,22,7,6,12,1,0,0,None,Festival,11.86673093,5,12.56455858,5.333037713,0.713896177,0.517148361,0.606231949,0.38409687,0
08:00:00,0,Zone_1,200,20,25,8,6,12,1,0,0,None,Festival,18.2611412,0,18.27828259,0.444539884,0.44019853,0.657180279,0.789651057,0.877498543,1
09:00:00,0,Zone_1,200,20,25,9,6,12,1,0,0,None,Sports,13.59909634,0,13.51216549,0.031064262,0.678525894,0.847987517,0.926230134,0.870337386,1
10:00:00,0,Zone_1,200,20,25,10,6,12,1,0,0,None,Festival,21.82120086,0.2,20.83510512,0.406448382,0.441609466,0.799254771,0.771943293,0.546063963,1
11:00:00,0,Zone_1,200,20,25,11,6,12,1,0,0,None,Concert,16.01178506,0,15.50553719,0.317782564,0.470705439,0.678159174,0.847672967,0.587061288,1
12:00:00,0,Zone_1,200,20,22,12,6,12,1,0,0,None,Concert,22.30054646,0,22.19611279,0.231735853,0.713158742,0.587788797,0.543063126,0.607095487,1
13:00:00,0,Zone_1,200,20,22,13,6,12,1,0,0,None,Sports,19.76057128,0,20.43117627,0.092468039,0.938091125,0.577679851,0.458566997,0.414809135,0
14:00:00,0,Zone_1,200,20,22,14,6,12,1,0,0,None,Festival,15.83910602,1,15.63425006,1.21065081,0.446013246,0.466608228,0.431181415,0.618117603,1
15:00:00,0,Zone_1,200,20,22,15,6,12,1,0,0,None,Conference,12.86841126,10,13.79924997,10.23497607,0.523795698,0.576275698,0.580355714,0.433873988,1
16:00:00,0,Zone_1,200,20,22,16,6,12,1,0,0,None,Concert,15.95992584,0,16.75703421,0.263857436,0.546450739,0.508644386,0.379888164,0.626914062,0
17:00:00,0,Zone_1,200,20,25,17,6,12,1,0,0,None,Festival,14.42608951,0,13.90058768,0.095239819,0.631310722,0.780921877,0.803482691,0.823443118,1
18:00:00,0,Zone_1,200,20,25,18,6,12,1,0,0,None,None,20.73153666,0,20.43169347,0.287062017,0.494054928,0.896943924,0.843222963,0.814179298,1
19:00:00,0,Zone_1,200,20,25,19,6,12,1,0,0,None,Conference,17.32961164,0,18.18624877,0.156910489,0.642800099,0.856744996,0.98901222,0.973307796,1
20:00:00,0,Zone_1,200,20,25,20,6,12,1,0,0,None,Sports,20.13032772,0,20.27045006,0,0.518495774,0.919213521,0.841731428,0.696281095,1
21:00:00,0,Zone_1,200,20,22,21,6,12,1,0,0,None,Festival,19.34932212,0,19.18888383,0.053724166,0.855784869,0.603784938,0.668548315,0.468946008,0
22:00:00,0,Zone_1,200,20,22,22,6,12,1,0,0,None,Conference,13.31832878,0,12.97463412,0,0.900069618,0.493778266,0.453443581,0.661464422,1
23:00:00,0,Zone_1,200,20,22,23,6,12,1,0,0,None,Festival,18.19284006,0,17.62448211,0.273734285,0.284451044,0.500017423,0.400947377,0.394099718,0
00:00:00,0,Zone_1,200,20,20,0,0,12,0,0,0,None,None,17.67841657,0,18.16650186,0.050516316,0.402756543,0.376782835,0.43938768,0.34232378,0
01:00:00,0,Zone_1,200,20,20,1,0,12,0,0,0,None,Sports,16.57516407,0,17.00435591,0.296118426,0.369334153,0.354320552,0.173847747,0.215148565,0
02:00:00,0,Zone_1,200,20,20,2,0,12,0,0,0,None,Festival,15.80777579,0,14.83656277,0,0.244016053,0.388574993,0.435556881,0.155591288,0
03:00:00,0,Zone_1,200,20,20,3,0,12,0,0,0,None,Sports,20.09727715,0,20.02662477,0.28986421,0.619979327,0.425760064,0.200628129,0.180699694,0
04:00:00,0,Zone_1,200,20,20,4,0,12,0,0,0,None,Festival,21.48949126,0,20.81536011,0,0.502046612,0.295094722,0.465625184,0.289268345,0
05:00:00,0,Zone_1,200,20,20,5,0,12,0,0,0,None,Sports,14.89679293,0.2,15.53807188,0.475563802,0.540856588,0.263374206,0.282014143,0.444785831,0
06:00:00,0,Zone_1,200,20,20,6,0,12,0,0,0,None,Sports,18.33089874,0,18.64234401,0.131237973,0.413994923,0.278450674,0.362586037,0.410495597,0
07:00:00,0,Zone_1,200,20,20,7,0,12,0,0,0,None,Sports,20.69879963,0,21.30576149,0.069220744,0.561459904,0.394031998,0.254335481,0.206786011,0
08:00:00,0,Zone_1,200,20,23,8,0,12,0,0,0,None,Sports,19.4764231,0.2,19.60015649,0.243158116,0.194509475,0.580812067,0.707322974,0.677702265,1
09:00:00,0,Zone_1,200,20,23,9,0,12,0,0,0,None,Concert,20.04585891,0,19.06753422,0.443229186,0.437946649,0.571563189,0.400407326,0.355183057,1
10:00:00,0,Zone_1,200,20,23,10,0,12,0,0,0,None,None,18.60572233,0,18.03117812,0.467716726,0.339052663,0.740845472,0.534259661,0.473839109,1
11:00:00,0,Zone_1,200,20,23,11,0,12,0,0,0,None,Festival,17.07272247,0,16.35870584,0.356906379,0.66076261,0.742869254,0.787861748,0.582706137,1
12:00:00,0,Zone_1,200,20,20,12,0,12,0,0,0,None,Sports,18.13305167,0,18.29566251,0.417883113,0.264774504,0.223779373,0.378845808,0.136773884,0
13:00:00,0,Zone_1,200,20,20,13,0,12,0,0,0,None,Conference,11.8887722,1,11.11116716,1.195575063,0.814006456,0.452503833,0.364176369,0.532253251,0
14:00:00,0,Zone_1,200,20,20,14,0,12,0,0,0,None,Concert,20.52051348,0,20.32095926,0.186628935,0.726668405,0.429462492,0.33752972,0.371506424,0
15:00:00,0,Zone_1,200,20,25,15,0,12,0,0,1,choice,None,18.67227745,0,18.77998601,0.481581521,0.50251848,0.75467539,0.721830511,0.798738691,1
16:00:00,0,Zone_1,200,20,20,16,0,12,0,0,0,None,Concert,17.57015022,0,17.24147035,0.001807942,0.379879064,0.28199215,0.344881307,0.419603924,0
17:00:00,0,Zone_1,200,20,23,17,0,12,0,0,0,None,Conference,12.26188045,0.2,12.63134279,0.197570164,0.572495292,0.648301433,0.577868908,0.622521079,1
18:00:00,0,Zone_1,200,20,23,18,0,12,0,0,0,None,Sports,14.3048077,0,14.86001226,0.188222049,0.537916984,0.74887503,0.649349334,0.767027045,1
19:00:00,0,Zone_1,200,20,23,19,0,12,0,0,0,None,Concert,10.6432062,0,9.755957189,0.418833426,0.319741236,0.567984707,0.51893719,0.645755559,1
20:00:00,0,Zone_1,200,20,28,20,0,12,0,0,1,system,Sports,13.94783414,0,13.45071902,0.064839078,0.372552894,0.948600174,1,1,1
21:00:00,0,Zone_1,200,20,20,21,0,12,0,0,0,None,Festival,21.53789155,0,21.6597675,0.425992162,0.513503696,0.344027712,0.434519717,0.513211215,0
22:00:00,0,Zone_1,200,20,20,22,0,12,0,0,0,None,Sports,18.60934064,0,18.88262929,0.232889365,0.509914546,0.406164952,0.256446261,0.305386848,0
23:00:00,0,Zone_1,200,20,25,23,0,12,0,0,1,way,Sports,12.88985268,0,13.84991783,0.195570856,0.48889046,0.694208274,0.798844759,0.890543114,1
00:00:00,0,Zone_1,200,20,20,0,1,12,0,0,0,None,Festival,19.09979474,0,18.7911293,0.438073046,0.312024043,0.309783992,0.254308999,0.435648372,0
01:00:00,0,Zone_1,200,20,20,1,1,12,0,0,0,None,None,14.15912662,0,14.25655723,0.220654102,0.239679335,0.326143553,0.179076671,0.44584249,0
02:00:00,0,Zone_1,200,20,20,2,1,12,0,0,0,None,Sports,19.54376697,0,20.29092422,0.45252344,0.740927015,0.435251025,0.414403323,0.224986105,0
03:00:00,0,Zone_1,200,20,20,3,1,12,0,0,0,None,Sports,18.57627114,0,17.70095387,0,0.819422545,0.428692785,0.299166519,0.217539901,0
04:00:00,0,Zone_1,200,20,20,4,1,12,0,0,0,None,Sports,22.57136223,0,22.10984869,0.126370498,0.008650589,0.370224735,0.327615225,0.389659772,0
05:00:00,0,Zone_1,200,20,20,5,1,12,0,0,0,None,Concert,16.95064872,0,17.2482944,0.187749261,0.077860096,0.264320029,0.210113183,0.258063019,0
06:00:00,0,Zone_1,200,20,20,6,1,12,0,0,0,None,Sports,15.37314524,0,15.51470185,0.113658036,0.223440054,0.198414872,0.263985476,0.400827205,0
07:00:00,0,Zone_1,200,20,20,7,1,12,0,0,0,None,Conference,20.39245261,0,21.34258694,0.194449268,0.529040812,0.281698778,0.230019555,0.238895089,0
08:00:00,0,Zone_1,200,20,23,8,1,12,0,0,0,None,None,16.01212872,0,15.8630016,0.204566227,0.614119734,0.660300471,0.550081823,0.667815615,1
09:00:00,0,Zone_1,200,20,23,9,1,12,0,0,0,None,Conference,20.64578973,0,20.55432568,0.229161871,0.163025572,0.659114777,0.544089405,0.764313625,1
10:00:00,0,Zone_1,200,20,23,10,1,12,0,0,0,None,Concert,15.82998275,0,15.52771929,0.457717487,0.986769616,0.645169377,0.850885592,0.645827769,1
11:00:00,0,Zone_1,200,20,23,11,1,12,0,0,0,None,Festival,18.55053547,0,19.11356443,0.396764532,0.570631525,0.620630027,0.58299765,0.805975459,1
12:00:00,0,Zone_1,200,20,20,12,1,12,0,0,0,None,Conference,20.46073722,0,20.36463442,0.328269473,0.158544569,0.209294884,0.25199791,0.273315948,0
13:00:00,0,Zone_1,200,20,20,13,1,12,0,0,0,None,Concert,17.282464,0,18.09540822,0.274542798,0.664620995,0.416456407,0.207886378,0.288752794,0
14:00:00,0,Zone_1,200,20,20,14,1,12,0,0,0,None,None,23.11747458,0,24.11285981,0.351441872,0.49353395,0.281331219,0.239155729,0.465476117,0
15:00:00,0,Zone_1,200,20,20,15,1,12,0,0,0,None,None,16.9574198,0.2,16.17868327,0.607871375,0.665827737,0.414458957,0.370770502,0.221038543,0
16:00:00,0,Zone_1,200,20,20,16,1,12,0,0,0,None,Conference,21.99131569,0,22.18937442,0.396079297,0.899863441,0.271545301,0.410602983,0.472419867,0
17:00:00,0,Zone_1,200,20,23,17,1,12,0,0,0,None,Festival,18.83990588,0,19.06281435,0,0.274902191,0.58886526,0.655748962,0.596628587,1
18:00:00,0,Zone_1,200,20,23,18,1,12,0,0,0,None,Sports,16.19205658,0,15.34669872,0,0.760369834,0.635361586,0.830655591,0.823136412,1
19:00:00,0,Zone_1,200,20,23,19,1,12,0,0,0,None,Concert,14.29516682,0,14.51095561,0.127583419,0.280128835,0.709120768,0.563899763,0.608748117,1
20:00:00,0,Zone_1,200,20,23,20,1,12,0,0,0,None,Sports,17.31036129,0,17.78536378,0.171330765,0.625628003,0.590369778,0.688600575,0.710302886,1
21:00:00,0,Zone_1,200,20,20,21,1,12,0,0,0,None,Concert,21.24137961,0,20.26756852,0.298122423,0.131018952,0.350868618,0.148154716,0.42701072,0
22:00:00,0,Zone_1,200,20,20,22,1,12,0,0,0,None,None,16.26505823,0,16.05969446,0.156073343,0.317888431,0.245206355,0.350346659,0.317870028,0
23:00:00,0,Zone_1,200,20,20,23,1,12,0,0,0,None,Festival,22.16574681,0,21.96727293,0.235784199,0,0.342325867,0.368795477,0.128659668,0
00:00:00,0,Zone_1,200,20,20,0,2,12,0,0,0,None,Sports,18.19089972,0.2,19.14876259,0.603873316,0.690302813,0.269005445,0.370008849,0.321715159,0
01:00:00,0,Zone_1,200,20,20,1,2,12,0,0,0,None,None,12.87449016,0,13.64941113,0.234032951,0.702069001,0.299418197,0.251986326,0.148089303,0
02:00:00,0,Zone_1,200,20,20,2,2,12,0,0,0,None,Conference,12.92020148,0,13.18668303,0.341542768,0.319893423,0.235737639,0.418530191,0.154785628,0
